TARGET_CLASS,Lines,Covered_Lines,Total_Methods,Covered_Methods,Total_Branches,Covered_Branches,BranchCoverage,MethodCoverage,LineCoverage,OutputCoverage,Total_Time
org.apache.commons.cli.TypeHandler,11,37,11,11,20,12,0.7241379310344828,1.0,0.8222222222222222,0.3707865168539326,65353
org.apache.commons.cli.Options,18,62,18,18,34,34,1.0,1.0,1.0,0.5970149253731343,65503
org.apache.commons.cli.CommandLine,31,80,31,31,50,48,0.971830985915493,1.0,0.975609756097561,0.8032786885245902,67709
org.apache.commons.cli.PosixParser,7,56,7,7,56,46,0.8275862068965517,1.0,0.8235294117647058,0.6666666666666666,64306
org.apache.commons.cli.MissingOptionException,4,15,4,4,6,6,1.0,1.0,1.0,0.6666666666666666,63404
org.apache.commons.cli.AmbiguousOptionException,3,16,3,3,4,4,1.0,1.0,1.0,0.5,63001
org.apache.commons.cli.Util,3,12,3,3,14,14,1.0,1.0,1.0,0.8333333333333334,63722
org.apache.commons.cli.GnuParser,2,28,2,2,20,20,1.0,1.0,1.0,0.6666666666666666,63655
org.apache.commons.cli.OptionGroup,9,35,9,9,14,14,1.0,1.0,1.0,0.6666666666666666,64498
org.apache.commons.cli.BasicParser,2,2,2,2,0,0,1.0,1.0,1.0,1.0,2651
org.apache.commons.cli.UnrecognizedOptionException,3,6,3,3,0,0,1.0,1.0,1.0,1.0,2258
org.apache.commons.cli.PatternOptionBuilder,4,33,4,4,96,96,1.0,1.0,1.0,0.8333333333333334,67598
org.apache.commons.cli.Parser,13,0,13,0,78,0,0.0,0.0,0.0,0.0,61747
org.apache.commons.cli.ParseException,1,2,1,1,0,0,1.0,1.0,1.0,1.0,1656
org.apache.commons.cli.MissingArgumentException,3,5,3,3,0,0,1.0,1.0,0.8333333333333334,0.9047619047619048,63507
org.apache.commons.cli.OptionBuilder,21,59,20,20,4,4,1.0,1.0,0.9672131147540983,0.7263157894736842,64989
org.apache.commons.cli.OptionValidator,4,14,4,4,16,16,1.0,1.0,1.0,1.0,63240
