TARGET_CLASS,Lines,Covered_Lines,Total_Methods,Covered_Methods,Total_Branches,Covered_Branches,BranchCoverage,MethodCoverage,LineCoverage,OutputCoverage,Total_Time
org.apache.commons.cli.TypeHandler,11,37,11,11,20,12,0.7241379310344828,1.0,0.8222222222222222,0.38202247191011235,64864
org.apache.commons.cli.Options,18,62,18,18,34,34,1.0,1.0,1.0,0.6119402985074627,65737
org.apache.commons.cli.HelpFormatter,44,195,43,43,122,90,0.7948717948717948,0.975,0.9112149532710281,0.4782608695652174,184158
org.apache.commons.cli.CommandLine,31,82,31,31,50,50,1.0,1.0,1.0,0.8032786885245902,69334
org.apache.commons.cli.PosixParser,7,55,7,7,56,43,0.7758620689655172,1.0,0.8088235294117647,0.6666666666666666,66429
org.apache.commons.cli.MissingOptionException,4,15,4,4,6,6,1.0,1.0,1.0,0.5,63296
org.apache.commons.cli.AmbiguousOptionException,3,16,3,3,4,4,1.0,1.0,1.0,0.5,62923
org.apache.commons.cli.Util,3,12,3,3,14,14,1.0,1.0,1.0,0.8333333333333334,63566
org.apache.commons.cli.GnuParser,2,26,2,2,20,19,0.9523809523809523,1.0,0.9285714285714286,0.6666666666666666,63521
org.apache.commons.cli.OptionGroup,9,35,9,9,14,14,1.0,1.0,1.0,0.6666666666666666,64012
org.apache.commons.cli.BasicParser,2,2,2,2,0,0,1.0,1.0,1.0,1.0,2445
org.apache.commons.cli.UnrecognizedOptionException,3,6,3,3,0,0,1.0,1.0,1.0,1.0,2078
org.apache.commons.cli.PatternOptionBuilder,4,33,4,4,96,96,1.0,1.0,1.0,0.8333333333333334,67675
org.apache.commons.cli.Parser,13,0,13,0,78,0,0.0,0.0,0.0,0.0,61816
org.apache.commons.cli.ParseException,1,2,1,1,0,0,1.0,1.0,1.0,1.0,1632
org.apache.commons.cli.MissingArgumentException,3,5,3,3,0,0,1.0,1.0,0.8333333333333334,0.9047619047619048,63378
org.apache.commons.cli.OptionBuilder,21,59,20,20,4,4,1.0,1.0,0.9672131147540983,0.7263157894736842,65527
org.apache.commons.cli.OptionValidator,4,14,4,4,16,16,1.0,1.0,1.0,1.0,63363
